X,Y,Clase
55.4052,47.0318,0
59.9647,43.1449,0
67.1264,75.9185,0
91.4631,77.8574,0
90.0549,103.6933,0
98.6757,107.1541,0
124.965,111.8567,0
131.6102,116.1109,0
133.7127,131.4324,0
143.227,151.3453,0
171.6831,147.2404,0
158.2196,166.7996,0
164.6358,177.053,0
187.9086,181.1133,0
197.8393,181.1952,0
209.9252,191.4875,0
208.531,209.653,0
221.1499,231.2291,0
235.2686,231.4359,0
249.2197,257.522,0
255.1777,258.0546,0
275.3022,267.5272,0
265.3702,295.5633,0
303.5643,270.0185,0
295.8406,299.4921,0
314.1361,311.7623,0
314.4891,308.236,0
327.7467,335.1906,0
328.4626,328.962,0
347.2389,331.936,0
355.6099,354.2,0
371.5548,362.3346,0
371.1482,375.0516,0
388.0621,383.1443,0
398.8149,404.7197,0
418.4553,422.6136,0
412.9629,415.8726,0
409.6242,444.6818,0
433.9459,439.4766,0
454.1806,439.1316,0
53.7113,149.7889,1
45.6482,162.5925,1
80.069,155.5704,1
87.2269,182.443,1
94.8242,194.5577,1
111.7135,199.4929,1
118.5272,208.2591,1
127.6183,215.283,1
131.1846,245.8994,1
145.8726,241.042,1
143.4056,246.243,1
164.3697,270.3357,1
176.4854,277.27,1
182.9993,294.1495,1
190.4634,289.192,1
210.9509,304.355,1
211.8741,309.4937,1
222.3038,329.3475,1
237.4454,324.9383,1
248.2825,346.3039,1
247.1268,361.3109,1
263.1413,362.7011,1
282.0075,386.2066,1
280.3889,389.4035,1
289.1453,414.6679,1
302.4601,415.9702,1
311.4881,423.1571,1
344.6741,406.5953,1
333.7035,441.1836,1
346.693,442.0881,1
374.9095,458.3283,1
354.7933,474.7819,1
364.4322,487.4119,1
383.8395,489.6203,1
408.8056,499.6609,1
397.8457,495.4068,1
428.6915,525.1542,1
422.9611,536.3633,1
443.7168,544.9252,1
431.9288,547.5833,1
