X,Y,Clase
184,33,0
78,62,0
64,30,0
88,103,0
77,189,0
37,44,0
135,29,0
94,121,0
84,200,0
84,242,0
67,298,0
66,97,0
143,120,0
155,96,0
123,272,0
152,252,0
123,108,0
26,155,0
83,269,0
146,78,0
146,88,0
137,73,0
127,153,0
125,218,0
108,112,0
154,73,0
177,149,0
140,273,0
125,310,0
141,250,0
168,192,0
195,132,0
230,58,0
241,46,0
261,22,0
106,111,0
105,143,0
156,125,0
184,103,0
229,68,0
133,179,0
105,297,0
396,290,0
465,252,0
285,255,0
341,163,1
405,278,1
337,202,1
366,135,1
234,265,1
159,339,1
259,194,1
415,137,1
412,94,1
449,65,1
383,266,1
349,296,1
250,312,1
199,329,1
196,330,1
208,331,1
305,279,1
304,273,1
209,318,1
222,277,1
281,263,1
339,173,1
375,62,1
415,97,1
426,56,1
377,143,1
432,217,1
382,288,1
432,307,1
327,311,1
419,320,1
457,238,1
445,172,1
368,229,1
426,235,1
340,274,1
439,293,1
451,346,1
473,228,1
463,167,1
458,96,1
426,140,1
384,260,1
300,304,1
280,327,1
405,325,1
338,285,1
443,166,1
382,164,1
258,242,1
349,156,1
385,96,1
234,186,1
280,211,1
362,85,1
384,47,1
305,212,1
305,216,1
309,157,1
323,124,1
323,119,1
320,115,1
186,86,1
125,75,1
91,189,1
124,129,1
